prediction_unit_id,datetime,target,is_consumption
0,2023-05-14 00:00:00,3.127,0
0,2023-05-14 00:00:00,568.807,1
1,2023-05-14 00:00:00,0.0,0
1,2023-05-14 00:00:00,8.415,1
2,2023-05-14 00:00:00,31.475,0
2,2023-05-14 00:00:00,1455.359,1
3,2023-05-14 00:00:00,0.0,0
3,2023-05-14 00:00:00,491.661,1
4,2023-05-14 00:00:00,0.0,0
4,2023-05-14 00:00:00,721.427,1
61,2023-05-14 00:00:00,0.0,0
61,2023-05-14 00:00:00,12.767,1
5,2023-05-14 00:00:00,1.209,0
5,2023-05-14 00:00:00,6599.868,1
6,2023-05-14 00:00:00,2.072,0
6,2023-05-14 00:00:00,16.206,1
7,2023-05-14 00:00:00,0.83,0
7,2023-05-14 00:00:00,49.464,1
8,2023-05-14 00:00:00,0.0,0
8,2023-05-14 00:00:00,81.499,1
62,2023-05-14 00:00:00,0.0,0
62,2023-05-14 00:00:00,23.6,1
9,2023-05-14 00:00:00,5.375,0
9,2023-05-14 00:00:00,60.021,1
65,2023-05-14 00:00:00,0.001,0
65,2023-05-14 00:00:00,42.696,1
10,2023-05-14 00:00:00,0.015,0
10,2023-05-14 00:00:00,369.76,1
11,2023-05-14 00:00:00,1.399,0
11,2023-05-14 00:00:00,22.751,1
12,2023-05-14 00:00:00,1.312,0
12,2023-05-14 00:00:00,94.941,1
13,2023-05-14 00:00:00,0.156,0
13,2023-05-14 00:00:00,18.514,1
14,2023-05-14 00:00:00,0.099,0
14,2023-05-14 00:00:00,660.061,1
15,2023-05-14 00:00:00,0.0,0
15,2023-05-14 00:00:00,21.632,1
16,2023-05-14 00:00:00,0.057,0
16,2023-05-14 00:00:00,45.66,1
17,2023-05-14 00:00:00,0.0,0
17,2023-05-14 00:00:00,251.029,1
66,2023-05-14 00:00:00,0.0,0
66,2023-05-14 00:00:00,46.248,1
18,2023-05-14 00:00:00,0.029,0
18,2023-05-14 00:00:00,586.336,1
19,2023-05-14 00:00:00,0.495,0
19,2023-05-14 00:00:00,48.649,1
20,2023-05-14 00:00:00,0.674,0
20,2023-05-14 00:00:00,175.844,1
21,2023-05-14 00:00:00,0.0,0
21,2023-05-14 00:00:00,113.886,1
22,2023-05-14 00:00:00,0.0,0
22,2023-05-14 00:00:00,112.94,1
23,2023-05-14 00:00:00,0.376,0
23,2023-05-14 00:00:00,1263.567,1
24,2023-05-14 00:00:00,0.0,0
24,2023-05-14 00:00:00,77.895,1
25,2023-05-14 00:00:00,0.847,0
25,2023-05-14 00:00:00,84.21,1
27,2023-05-14 00:00:00,5.821,0
27,2023-05-14 00:00:00,269.034,1
28,2023-05-14 00:00:00,0.0,0
28,2023-05-14 00:00:00,376.199,1
29,2023-05-14 00:00:00,0.0,0
29,2023-05-14 00:00:00,282.729,1
30,2023-05-14 00:00:00,1.418,0
30,2023-05-14 00:00:00,699.585,1
31,2023-05-14 00:00:00,0.083,0
31,2023-05-14 00:00:00,23.966,1
32,2023-05-14 00:00:00,0.731,0
32,2023-05-14 00:00:00,68.034,1
33,2023-05-14 00:00:00,0.025,0
33,2023-05-14 00:00:00,483.609,1
34,2023-05-14 00:00:00,0.06,0
34,2023-05-14 00:00:00,61.71,1
35,2023-05-14 00:00:00,4.087,0
35,2023-05-14 00:00:00,168.144,1
36,2023-05-14 00:00:00,0.0,0
36,2023-05-14 00:00:00,31.948,1
37,2023-05-14 00:00:00,0.061,0
37,2023-05-14 00:00:00,201.531,1
38,2023-05-14 00:00:00,0.622,0
38,2023-05-14 00:00:00,49.52,1
39,2023-05-14 00:00:00,0.383,0
39,2023-05-14 00:00:00,168.446,1
40,2023-05-14 00:00:00,0.0,0
40,2023-05-14 00:00:00,81.819,1
41,2023-05-14 00:00:00,0.0,0
41,2023-05-14 00:00:00,190.319,1
42,2023-05-14 00:00:00,0.495,0
42,2023-05-14 00:00:00,770.865,1
43,2023-05-14 00:00:00,0.861,0
43,2023-05-14 00:00:00,129.439,1
44,2023-05-14 00:00:00,0.0,0
44,2023-05-14 00:00:00,2.352,1
45,2023-05-14 00:00:00,6.47,0
45,2023-05-14 00:00:00,533.669,1
67,2023-05-14 00:00:00,0.0,0
67,2023-05-14 00:00:00,291.612,1
46,2023-05-14 00:00:00,0.0,0
46,2023-05-14 00:00:00,234.501,1
47,2023-05-14 00:00:00,0.0,0
47,2023-05-14 00:00:00,1.993,1
48,2023-05-14 00:00:00,3.737,0
48,2023-05-14 00:00:00,3847.032,1
49,2023-05-14 00:00:00,1.0,0
49,2023-05-14 00:00:00,509.21,1
50,2023-05-14 00:00:00,0.17,0
50,2023-05-14 00:00:00,10.095,1
51,2023-05-14 00:00:00,0.742,0
51,2023-05-14 00:00:00,79.738,1
63,2023-05-14 00:00:00,0.016,0
63,2023-05-14 00:00:00,45.081,1
52,2023-05-14 00:00:00,0.0,0
52,2023-05-14 00:00:00,201.383,1
53,2023-05-14 00:00:00,0.0,0
53,2023-05-14 00:00:00,31.5,1
54,2023-05-14 00:00:00,2.206,0
54,2023-05-14 00:00:00,179.678,1
55,2023-05-14 00:00:00,0.0,0
55,2023-05-14 00:00:00,93.544,1
68,2023-05-14 00:00:00,0.0,0
68,2023-05-14 00:00:00,10.491,1
56,2023-05-14 00:00:00,0.12,0
56,2023-05-14 00:00:00,716.914,1
57,2023-05-14 00:00:00,0.0,0
57,2023-05-14 00:00:00,41.17,1
58,2023-05-14 00:00:00,3.923,0
58,2023-05-14 00:00:00,109.886,1
64,2023-05-14 00:00:00,0.0,0
64,2023-05-14 00:00:00,198.802,1
59,2023-05-14 00:00:00,0.0,0
59,2023-05-14 00:00:00,29.476,1
60,2023-05-14 00:00:00,0.0,0
60,2023-05-14 00:00:00,176.161,1
0,2023-05-14 01:00:00,2.538,0
0,2023-05-14 01:00:00,508.339,1
1,2023-05-14 01:00:00,0.0,0
1,2023-05-14 01:00:00,6.53,1
2,2023-05-14 01:00:00,16.348,0
2,2023-05-14 01:00:00,1378.075,1
3,2023-05-14 01:00:00,0.0,0
3,2023-05-14 01:00:00,474.154,1
4,2023-05-14 01:00:00,0.0,0
4,2023-05-14 01:00:00,707.02,1
61,2023-05-14 01:00:00,0.0,0
61,2023-05-14 01:00:00,11.971,1
5,2023-05-14 01:00:00,0.725,0
5,2023-05-14 01:00:00,6411.819,1
6,2023-05-14 01:00:00,0.211,0
6,2023-05-14 01:00:00,15.919,1
7,2023-05-14 01:00:00,1.242,0
7,2023-05-14 01:00:00,46.648,1
8,2023-05-14 01:00:00,0.0,0
8,2023-05-14 01:00:00,82.419,1
62,2023-05-14 01:00:00,0.0,0
62,2023-05-14 01:00:00,19.553,1
9,2023-05-14 01:00:00,0.551,0
9,2023-05-14 01:00:00,56.319,1
65,2023-05-14 01:00:00,0.001,0
65,2023-05-14 01:00:00,41.361,1
10,2023-05-14 01:00:00,0.0,0
10,2023-05-14 01:00:00,362.935,1
11,2023-05-14 01:00:00,0.511,0
11,2023-05-14 01:00:00,21.261,1
12,2023-05-14 01:00:00,0.585,0
12,2023-05-14 01:00:00,80.961,1
